Departamento,Superficie-Total (Mz.),Producción-Total (QQ),Rendimiento-Total (QQ/Mz),Superficie-Solo (Mz.),Producción-Solo (QQ),Rendimiento-Solo (QQ/Mz.),Superficie-Asociado (Mz.),Producción-Asociado (QQ),Rendimiento-Asociado (QQ/Mz.),Origen,Anio,shape_leng,shape_area,geom,gid
AHUACHAPAN,7135,110502,15.50,6921,107187,15.50,214,3315,15.50,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.73887688890,0.0996484287620,,7
CABAÑAS,5146,70592,13.70,5043,69180,13.70,103,1412,13.70,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.69367131489,0.0916979589649,,1
CHALATENANGO,3681,58326,15.80,3644,57743,15.80,37,583,15.80,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.89591565841,0.1716091280600,,14
CUSCATLAN,5072,81006,16.00,4972,79386,16.00,100,1620,16.20,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.56346038499,0.0624972775971,,12
LA LIBERTAD,16211,235060,14.50,12482,180996,14.50,3729,54064,14.50,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.73253976313,0.1371507720210,,9
LA PAZ,1249,16516,13.20,1224,16186,13.20,25,330,13.20,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.59407327462,0.1015822638910,,13
LA UNION,1753,28910,16.50,1373,22655,16.50,380,6255,16.50,Anuario de Estadísticas Agropecuarias 2006-2007,2007,3.84953278187,0.1735720089940,,6
MORAZAN,1763,26201,14.90,912,13588,14.90,851,12613,14.80,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.99329709528,0.1213544507230,,5
SAN MIGUEL,2268,37133,16.40,1719,28192,16.40,549,8941,16.30,Anuario de Estadísticas Agropecuarias 2006-2007,2007,3.17662681237,0.1778538388970,,4
SAN SALVADOR,12558,200928,16.00,12432,198918,16.00,126,2010,16.00,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.04072707749,0.0756107517542,,11
SAN VICENTE,9836,178422,18.10,9541,173069,18.10,295,5353,18.10,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.06678080491,0.1002437237940,,2
SANTA ANA,35426,572484,16.20,34717,561034,16.20,709,11450,16.20,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.71329645483,0.1703067731030,,10
SONSONATE,9635,164193,17.00,8190,139564,17.00,1445,24629,17.00,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.90139870267,0.1032384608160,,8
USULUTAN,13094,216051,16.50,11512,189948,16.50,1582,26103,16.50,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.79367019574,0.1770834099940,,3
