gid,Departamento,Superficie-Total (Mz.),Producción-Total (QQ),Rendimiento-Total (QQ/Mz.),Superficie-Siembra Invierno (Mz.),Producción-Siembra Invierno (QQ),Rendimiento-Siembra Invierno (QQ/Mz.),Superficie-Siembra Postrera (Mz.),Producción-Siembra Postrera (QQ),Rendimiento-Siembra Postrera (QQ/Mz.),Superficie-Siembra Apante (Mz.),Producción-Siembra Apante (QQ),Rendimiento-Siembra Apante (QQ/Mz.),Origen,Anio
7,AHUACHAPAN,14601,222546,15.2,730,10568,14.50,13872,211978,15.30,0,0,0.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
1,CABAÑAS,8435,129454,15.3,0,0,0.00,8435,129454,15.30,0,0,0.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
14,CHALATENANGO,6393,91424,14.3,571,7813,13.70,5804,83402,14.40,17,209,12.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
12,CUSCATLAN,20391,309630,15.2,29,446,15.40,20285,307541,15.20,77,1643,21.30,Anuario de Estadísticas Agropecuarias 2017-2018,2018
9,LA LIBERTAD,15057,217211,14.4,655,9162,14.00,14401,208048,14.40,0,0,0.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
13,LA PAZ,4093,65477,16,60,970,16.10,3519,55775,15.80,514,8733,17.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
6,LA UNION,1870,25306,13.5,0,0,0.00,1870,25306,13.50,0,0,0.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
5,MORAZAN,3189,41223,12.9,58,796,13.80,3131,40426,12.90,0,0,0.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
4,SAN MIGUEL,7925,107296,13.5,465,5833,12.50,7460,101463,13.60,0,0,0.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
11,SAN SALVADOR,8626,133015,15.4,205,3570,17.40,8407,129043,15.40,14,402,28.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
2,SAN VICENTE,6364,91232,14.3,8,112,13.90,6356,91120,14.30,0,0,0.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
10,SANTA ANA,21614,318100,14.7,1941,28633,14.80,19673,289467,14.70,0,0,0.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
8,SONSONATE,15563,235998,15.2,1845,28221,15.30,13710,207609,15.10,8,168,20.80,Anuario de Estadísticas Agropecuarias 2017-2018,2018
3,USULUTAN,6064,88909,14.7,0,0,0.00,5604,80107,14.30,461,8802,19.10,Anuario de Estadísticas Agropecuarias 2017-2018,2018
