gid,Departamento,SUPERFICIE-TOTAL (Mz.),PRODUCCIÓN-TOTAL (QQ),RENDIMIENTO-TOTAL (QQ/Mz.),Superficie-Siembra Invierno (Mz.),Producción-Siembra Invierno (QQ),Rendimiento-Siembra Invierno (QQ/Mz.),Superficie-Siembra Postrera (Mz.),Producción-Siembra Postrera (QQ),Rendimiento-Siembra Postrera (QQ/Mz.),Superficie-Siembra Apante (Mz.),Producción-Siembra Apante (QQ),Rendimiento-Siembra Apante (QQ/Mz.),Origen,Anio
7,AHUACHAPAN,39744,2057657,51.80,39466,2043415,51.80,158,4612,29.20,120,9630,80.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
1,CABAÑAS,26798,1397538,52.20,26486,1385827,52.30,311,11711,37.60,0,0,0.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
14,CHALATENANGO,18356,873411,47.60,18279,870631,47.60,77,2780,36.00,0,0,0.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
12,CUSCATLAN,38731,2029736,52.40,38731,2029736,52.40,0,0,0.00,0,0,0.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
9,LA LIBERTAD,31157,1737465,55.80,30828,1719465,55.80,329,18000,54.80,0,0,0.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
13,LA PAZ,18222,898403,49.30,17500,869257,49.70,333,13772,41.40,389,15374,39.50,Anuario de Estadísticas Agropecuarias 2017-2018,2018
6,LA UNION,30924,1287695,41.60,1801,63043,35.00,29123,1224652,42.10,0,0,0.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
5,MORAZAN,21752,766722,35.20,6811,222087,32.60,14941,544634,36.50,0,0,0.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
4,SAN MIGUEL,39362,1824147,46.30,13911,628093,45.10,25401,1193529,47.00,51,2526,50.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
11,SAN SALVADOR,17569,944751,53.80,17464,939509,53.80,105,5242,50.00,0,0,0.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
2,SAN VICENTE,17077,903340,52.90,16566,878206,53.00,497,24406,49.10,15,728,48.80,Anuario de Estadísticas Agropecuarias 2017-2018,2018
10,SANTA ANA,34077,1787610,52.50,34007,1784481,52.50,70,3130,45.00,0,0,0.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
8,SONSONATE,35619,1783261,50.10,35567,1780883,50.10,52,2379,46.00,0,0,0.00,Anuario de Estadísticas Agropecuarias 2017-2018,2018
3,USULUTAN,35954,1600743,44.50,25845,1171015,45.30,9084,383744,42.20,1025,45984,44.80,Anuario de Estadísticas Agropecuarias 2017-2018,2018
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
