gid,DEPARTAMENTO,SUPERFICIE_SEMBRADA_Mz,SUPERFICIE_COSECHADA_PARA_GRANO_Y_SEMILLA_Mz,PRODUCCION_PARA_GRANO_Y_SEMILLA_QQ,ANIO,ORIGEN_DATOS,shape_leng,shape_area
7,AHUACHAPAN,10035.95,9299.11,97049,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.73887688890,0.0996484287620
1,CABAÑAS,7463.73,7339.89,70812,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.69367131489,0.0916979589649
14,CHALATENANGO,5396.34,5276.43,53687,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,2.89591565841,0.1716091280600
12,CUSCATLAN,8278.96,8163.49,88310,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.56346038499,0.0624972775971
9,LA LIBERTAD,13455.91,13272.69,169641,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,2.73253976313,0.1371507720210
13,LA PAZ,3612.09,3553.37,51653,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.59407327462,0.1015822638910
6,LA UNION,1058.46,1051.46,11485,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,3.84953278187,0.1735720089940
5,MORAZAN,3114.07,3068.60,29850,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.99329709528,0.1213544507230
4,SAN MIGUEL,3811.63,3618.68,37604,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,3.17662681237,0.1778538388970
11,SAN SALVADOR,4950.54,4893.68,65064,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,2.04072707749,0.0756107517542
2,SAN VICENTE,10713.12,10559.89,127728,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,2.06678080491,0.1002437237940
10,SANTA ANA,20481.71,19647.21,236663,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,2.71329645483,0.1703067731030
8,SONSONATE,7140.85,6730.90,82923,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.90139870267,0.1032384608160
3,USULUTAN,4747.14,4681.42,61583,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,2.79367019574,0.1770834099940
