Departamento,SUPERFICIE-TOTAL (Mz.),PRODUCCIÓN-TOTAL (QQ),RENDIMIENTO-TOTAL (QQ/Mz.),Superficie-Híbrido (Mz.),Producción-Híbrido (QQ),Rendimiento-Híbrido (QQ/Mz.),Superficie-Nacional (Mz.),Producción-Nacional (QQ),Rendimiento-Nacional (QQ/Mz.),Origen,Anio,shape_leng,shape_area,geom,gid
AHUACHAPAN,32316,1553720,48.10,29084,1428044,49.10,3232,125676,38.90,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.73887688890,0.0996484287620,,7
CABAÑAS,14182,640831,45.20,14040,636020,45.30,142,4811,33.90,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.69367131489,0.0916979589649,,1
CHALATENANGO,24343,1282945,52.70,20205,1080951,53.50,4138,201993,48.80,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.89591565841,0.1716091280600,,14
CUSCATLAN,13407,681639,50.80,13273,675592,50.90,134,6047,45.10,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.56346038499,0.0624972775971,,12
LA LIBERTAD,24360,1255840,51.60,23873,1238998,51.90,487,16842,34.60,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.73253976313,0.1371507720210,,9
LA PAZ,13106,634841,48.40,11140,548093,49.20,1965,86748,44.10,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.59407327462,0.1015822638910,,13
LA UNION,24644,978396,39.70,5915,254326,43.00,18729,724071,38.70,Anuario de Estadísticas Agropecuarias 2006-2007,2007,3.84953278187,0.1735720089940,,6
MORAZAN,17116,659236,38.50,2567,107831,42.00,14549,551405,37.90,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.99329709528,0.1213544507230,,5
SAN MIGUEL,27339,1215949,44.50,10662,485130,45.50,16677,730818,43.80,Anuario de Estadísticas Agropecuarias 2006-2007,2007,3.17662681237,0.1778538388970,,4
SAN SALVADOR,24773,1358152,54.80,24525,1346438,54.90,248,11715,47.30,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.04072707749,0.0756107517542,,11
SAN VICENTE,17742,822443,46.40,17033,800551,47.00,710,21892,30.80,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.06678080491,0.1002437237940,,2
SANTA ANA,35579,1581842,44.50,27752,1234947,44.50,7827,346895,44.30,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.71329645483,0.1703067731030,,10
SONSONATE,21823,1092628,50.10,19859,1008834,50.80,1964,83794,42.70,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.90139870267,0.1032384608160,,8
USULUTAN,53525,2567014,48.00,42820,2093898,48.90,10705,473116,44.20,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.79367019574,0.1770834099940,,3
