gid,Departamento,SUPERFICIE-TOTAL (Mz.),PRODUCCIÓN-TOTAL (QQ),RENDIMIENTO-TOTAL (QQ/Mz.),Superficie-Híbrido (Mz.),Producción-Híbrido (QQ),Rendimiento-Híbrido (QQ/Mz.),Superficie-Nacional (Mz.),Producción-Nacional (QQ),Rendimiento-Nacional (QQ/Mz.),Superficie-Segregado (Mz.),Producción-Segregado (QQ),Rendimiento-Segregado (QQ/Mz.),Origen,Anio
7,AHUACHAPAN,39744,2057657,51.80,38988,2033021,52.10,638,19890,31.20,119,4746,40,Anuario de Estadísticas Agropecuarias 2017-2018,2018
1,CABAÑAS,26798,1397538,52.20,26373,1379945,52.30,116,5815,50.00,308,11777,38,Anuario de Estadísticas Agropecuarias 2017-2018,2018
14,CHALATENANGO,18356,873411,47.60,15553,761676,49.00,2803,111736,39.90,0,0,0,Anuario de Estadísticas Agropecuarias 2017-2018,2018
12,CUSCATLAN,38731,2029736,52.40,38227,2013303,52.70,504,16433,32.60,0,0,0,Anuario de Estadísticas Agropecuarias 2017-2018,2018
9,LA LIBERTAD,31157,1737465,55.80,30633,1717758,56.10,454,16934,37.30,69,2773,40,Anuario de Estadísticas Agropecuarias 2017-2018,2018
13,LA PAZ,18222,898403,49.30,17957,886675,49.40,145,6910,47.70,119,4818,40,Anuario de Estadísticas Agropecuarias 2017-2018,2018
6,LA UNION,30924,1287695,41.60,25875,1129122,43.60,4231,129139,30.50,819,29434,36,Anuario de Estadísticas Agropecuarias 2017-2018,2018
5,MORAZAN,21752,766722,35.20,14842,565585,38.10,6225,179924,28.90,685,21213,31,Anuario de Estadísticas Agropecuarias 2017-2018,2018
4,SAN MIGUEL,39362,1824147,46.30,32737,1600712,48.90,4108,131852,32.10,2517,91583,36,Anuario de Estadísticas Agropecuarias 2017-2018,2018
11,SAN SALVADOR,17569,944751,53.80,17351,937242,54.00,219,7509,34.30,0,0,0,Anuario de Estadísticas Agropecuarias 2017-2018,2018
2,SAN VICENTE,17077,903340,52.90,16751,889644,53.10,205,8461,41.30,121,5235,43,Anuario de Estadísticas Agropecuarias 2017-2018,2018
10,SANTA ANA,34077,1787610,52.50,31921,1710119,53.60,2091,75249,36.00,64,2242,35,Anuario de Estadísticas Agropecuarias 2017-2018,2018
8,SONSONATE,35619,1783261,50.10,35214,1769673,50.30,405,13588,33.60,0,0,0,Anuario de Estadísticas Agropecuarias 2017-2018,2018
3,USULUTAN,35954,1600743,44.50,34410,1548701,45.00,689,23441,34.00,855,28602,34,Anuario de Estadísticas Agropecuarias 2017-2018,2018
