MUNICIPIO,departamento,SUPERFICIE SEMBRADA (Mz),SUPERFICIE COSECHADA PARA GRANO Y SEMILLA (Mz),PRODUCCIÓN PARA GRANO Y SEMILLA (QQ),ANIO,ORIGEN_DATOS,shape_leng,shape_area,gid
NUEVA CONCEPCION,CHALATENANGO,1104.88,1059.87,12837,2113,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.0153562841500,0.028778509514100,1
AGUA CALIENTE,CHALATENANGO,238.62,216.08,1992,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5418422188470,0.010760515893600,2
LA PALMA,CHALATENANGO,232.45,229.71,2634,2092,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6961669040010,0.012608642059300,3
SAN IGNACIO,CHALATENANGO,174.71,171.07,1896,2162,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4601596248910,0.004835440736150,4
CITALA,CHALATENANGO,131.69,131.69,1392,2028,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5432412105350,0.006169643194560,5
SAN FERNANDO,CHALATENANGO,89.38,88.72,766,2153,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3318886252330,0.002889573920340,6
LA REINA,CHALATENANGO,332.32,329.42,3055,2093,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5700458603830,0.008775986932950,7
SAN FRANCISCO MORAZAN,CHALATENANGO,164.13,157.39,1415,2160,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5125104051140,0.007957965034130,8
TEJUTLA,CHALATENANGO,153.69,153.31,1495,2238,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6328579283140,0.009952089464020,9
DULCE NOMBRE DE MARIA,CHALATENANGO,268.02,264.04,2513,2049,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4487349807460,0.005592792388880,10
EL PARAISO,CHALATENANGO,60.88,59.64,590,2056,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3622542020920,0.004835429155590,11
SAN RAFAEL,CHALATENANGO,61.86,57.69,667,2193,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3227846674170,0.002250706188950,12
SANTA RITA,CHALATENANGO,160.63,160.63,1775,2212,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3889066087010,0.004135045534630,13
CONCEPCION QUEZALTEPEQUE,CHALATENANGO,3.48,3.48,35,2040,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3013127847160,0.004132309140730,14
CHALATENANGO,CHALATENANGO,215.75,211.43,2004,2020,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6835281136270,0.011013719127600,15
NUEVA TRINIDAD,CHALATENANGO,91.48,90.12,936,2117,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2872279394880,0.003324401182520,16
LAS VUELTAS,CHALATENANGO,123.32,123.32,1444,2096,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2714817872820,0.002867324151970,17
OJOS DE AGUA,CHALATENANGO,212.05,211.92,2625,2120,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2919656743850,0.003441195719810,18
SAN ISIDRO LABRADOR,CHALATENANGO,133.77,133.77,1305,2166,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2248601023310,0.002148640227150,19
CANCASQUE,CHALATENANGO,56.69,56.69,398,2016,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2235930535790,0.002515604346570,20
POTONICO,CHALATENANGO,22.27,22.27,110,2130,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2724574921660,0.003155423114950,21
SAN MIGUEL DE MERCEDES,CHALATENANGO,33.74,33.74,218,2186,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2275484193940,0.002346588280180,22
SAN ANTONIO LOS RANCHOS,CHALATENANGO,67.90,65.27,628,2142,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1571980959400,0.001077229005680,23
AZACUALPA,CHALATENANGO,10.76,10.76,67,2010,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1317600328120,0.001011152584600,24
