MUNICIPIO,departamento,SUPERFICIE SEMBRADA,SUPERFICIE SEMBRADA CON SEMILLA MEJORADA,SUPERFICIE COSECHADA PARA GRANO Y SEMILLA,SUPERFICIE COSECHADA PARA FORRAJE VERDE (Mz),SUPERFICIE COSECHADA PARA ELOTE (Mz),PRODUCCIÓN PARA GRANO Y SEMILLA (QQ),PRODUCCIÓN PARA FORRAJE VERDE (TM),PRODUCCIÓN PARA ELOTE (CIENTOS),ANIO,ORIGEN_DATOS,shape_leng,shape_area,gid
NUEVA CONCEPCION,CHALATENANGO,4109.16,3640.60,3697.35,340.44,26.55,179797,9769,6595,2113,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.0153562841500,0.028778509514100,1
AGUA CALIENTE,CHALATENANGO,907.92,858.28,846.04,54.49,,38091,1275,,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5418422188470,0.010760515893600,2
LA PALMA,CHALATENANGO,865.20,406.11,841.62,19.25,2.05,28099,480,497,2092,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6961669040010,0.012608642059300,3
SAN IGNACIO,CHALATENANGO,646.23,143.53,639.21,2.01,0.72,18416,44,240,2162,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4601596248910,0.004835440736150,4
CITALA,CHALATENANGO,489.03,228.24,484.44,1.28,0.64,19454,28,128,2028,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5432412105350,0.006169643194560,5
SAN FERNANDO,CHALATENANGO,289.39,119.95,289.39,,,7683,,,2153,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3318886252330,0.002889573920340,6
LA REINA,CHALATENANGO,808.27,735.88,785.96,19.52,,33882,515,,2093,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5700458603830,0.008775986932950,7
SAN FRANCISCO MORAZAN,CHALATENANGO,428.07,261.02,415.75,2.09,0.50,14549,52,117,2160,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5125104051140,0.007957965034130,8
TEJUTLA,CHALATENANGO,935.72,871.30,905.79,12.27,17.56,37022,358,4888,2238,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6328579283140,0.009952089464020,9
DULCE NOMBRE DE MARIA,CHALATENANGO,387.75,299.55,381.02,,1.05,13975,,263,2049,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4487349807460,0.005592792388880,10
EL PARAISO,CHALATENANGO,633.08,599.37,616.23,6.00,,24730,149,,2056,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3622542020920,0.004835429155590,11
SAN RAFAEL,CHALATENANGO,276.90,246.88,270.33,3.79,,12101,105,,2193,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3227846674170,0.002250706188950,12
SANTA RITA,CHALATENANGO,482.22,476.84,477.88,3.02,,22402,77,,2212,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3889066087010,0.004135045534630,13
CONCEPCION DE ORIENTE,CHALATENANGO,1387.64,333.29,1375.98,7.21,,31471,137,,2040,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3013127847160,0.004132309140730,14
CHALATENANGO,CHALATENANGO,1237.12,1167.84,1087.74,107.46,39.00,45502,2580,10718,2020,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6835281136270,0.011013719127600,15
NUEVA TRINIDAD,CHALATENANGO,202.95,188.93,201.55,1.40,,6967,35,,2117,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2872279394880,0.003324401182520,16
LAS VUELTAS,CHALATENANGO,183.02,173.52,181.88,,,6137,,,2096,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2714817872820,0.002867324151970,17
OJOS DE AGUA,CHALATENANGO,414.03,396.74,414.03,,,15805,,,2120,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2919656743850,0.003441195719810,18
SAN ISIDRO LABRADOR,CHALATENANGO,257.61,195.30,254.91,2.70,,8179,54,,2166,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2248601023310,0.002148640227150,19
CANCASQUE,CHALATENANGO,221.23,188.64,216.17,4.47,0.60,8229,102,144,2016,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2235930535790,0.002515604346570,20
POTONICO,CHALATENANGO,227.37,200.94,223.57,3.81,,8493,86,,2130,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2724574921660,0.003155423114950,21
SAN MIGUEL DE MERCEDES,CHALATENANGO,239.95,216.03,239.95,,,8414,,,2186,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2275484193940,0.002346588280180,22
